# Copyright (C) 2020  Intel Corporation. All rights reserved.,,,,,,,,,,,,,,,,,,
# Your use of Intel Corporation's design tools, logic functions ,,,,,,,,,,,,,,,,,
# and other software and tools, and any partner logic ,,,,,,,,,,,,,,,,,
# functions, and any output files from any of the foregoing ,,,,,,,,,,,,,,,,,
# (including device programming or simulation files), and any ,,,,,,,,,,,,,,,,,
# associated documentation or information are expressly subject ,,,,,,,,,,,,,,,,,,
# to the terms and conditions of the Intel Program License ,,,,,,,,,,,,,,,,,,
# Subscription Agreement, the Intel Quartus Prime License Agreement,,,,,,,,,,,,,,,,,
# the Intel FPGA IP License Agreement, or other applicable license,,,,,,,,,,,,,,,,,
# agreement, including, without limitation, that your use is for,,,,,,,,,,,,,,,
# the sole purpose of programming logic devices manufactured by,,,,,,,,,,,,,,,,,,
# Intel and sold by Intel or its authorized distributors.  Please,,,,,,,,,,,,,,,,,,
# refer to the applicable agreement for further details, at,,,,,,,,,,,,,,,,,
# https://fpgasoftware.intel.com/eula.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
# Quartus Prime Version 20.1.0 Build 711 06/05/2020 SJ Standard Edition,,,,,,,,,,,,,,,,,,
# File: C:\Users\Matt Hartnett\Documents\FPGA-Design\ECEN3002_Lab1\ECEN3002_Lab1_1.csv,,,,,,,,,,,,,,,,,,
# Generated on: Thu Sep 03 16:41:45 2020,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
To,Direction,Location,I/O Bank,VREF Group,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Transceiver Analog Settings Protocol,VCCR_GXB/VCCT_GXB Voltage,Transceiver I/O Pin Termination,Transceiver Dedicated Refclk Pin Termination,Transmitter Common Mode Driver Voltage,Transmitter Slew Rate Control,Transmitter Differential Output Voltage,Receiver Buffer Common Mode Voltage,Strict Preservation
CLOCK2_50,Input,PIN_A11,8A,B8A_N0,2.5 V,,,,,,,,,,,,,
CLOCK3_50,Input,PIN_E7,8A,B8A_N0,2.5 V,,,,,,,,,,,,,
CLOCK4_50,Input,PIN_AA15,3B,B3B_N0,2.5 V,,,,,,,,,,,,,
CLOCK_50,Input,PIN_AF14,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX0[6],Output,PIN_D12,8A,B8A_N0,2.5 V,,,,,,,,,,,,,
HEX0[5],Output,PIN_D5,8A,B8A_N0,2.5 V,,,,,,,,,,,,,
HEX0[4],Output,PIN_AE19,4A,B4A_N0,2.5 V,,,,,,,,,,,,,
HEX0[3],Output,PIN_AA21,4A,B4A_N0,2.5 V,,,,,,,,,,,,,
HEX0[2],Output,PIN_AD10,3A,B3A_N0,2.5 V,,,,,,,,,,,,,
HEX0[1],Output,PIN_A13,8A,B8A_N0,2.5 V,,,,,,,,,,,,,
HEX0[0],Output,PIN_AF15,3B,B3B_N0,2.5 V,,,,,,,,,,,,,
HEX1[6],Output,PIN_B7,8A,B8A_N0,2.5 V,,,,,,,,,,,,,
HEX1[5],Output,PIN_E12,8A,B8A_N0,2.5 V,,,,,,,,,,,,,
HEX1[4],Output,PIN_AG26,4A,B4A_N0,2.5 V,,,,,,,,,,,,,
HEX1[3],Output,PIN_AG15,3B,B3B_N0,2.5 V,,,,,,,,,,,,,
HEX1[2],Output,PIN_AF18,4A,B4A_N0,2.5 V,,,,,,,,,,,,,
HEX1[1],Output,PIN_AE24,4A,B4A_N0,2.5 V,,,,,,,,,,,,,
HEX1[0],Output,PIN_AA24,5A,B5A_N0,2.5 V,,,,,,,,,,,,,
HEX2[6],Output,PIN_AH12,3B,B3B_N0,2.5 V,,,,,,,,,,,,,
HEX2[5],Output,PIN_AH23,4A,B4A_N0,2.5 V,,,,,,,,,,,,,
HEX2[4],Output,PIN_AK28,4A,B4A_N0,2.5 V,,,,,,,,,,,,,
HEX2[3],Output,PIN_H12,8A,B8A_N0,2.5 V,,,,,,,,,,,,,
HEX2[2],Output,PIN_AH22,4A,B4A_N0,2.5 V,,,,,,,,,,,,,
HEX2[1],Output,PIN_AK4,3B,B3B_N0,2.5 V,,,,,,,,,,,,,
HEX2[0],Output,PIN_AH29,5A,B5A_N0,2.5 V,,,,,,,,,,,,,
HEX3[6],Output,PIN_AH3,3A,B3A_N0,2.5 V,,,,,,,,,,,,,
HEX3[5],Output,PIN_AJ7,3B,B3B_N0,2.5 V,,,,,,,,,,,,,
HEX3[4],Output,PIN_AD24,4A,B4A_N0,2.5 V,,,,,,,,,,,,,
HEX3[3],Output,PIN_H8,8A,B8A_N0,2.5 V,,,,,,,,,,,,,
HEX3[2],Output,PIN_A4,8A,B8A_N0,2.5 V,,,,,,,,,,,,,
HEX3[1],Output,PIN_AD17,4A,B4A_N0,2.5 V,,,,,,,,,,,,,
HEX3[0],Output,PIN_AF25,4A,B4A_N0,2.5 V,,,,,,,,,,,,,
HEX4[6],Output,PIN_AK12,3B,B3B_N0,2.5 V,,,,,,,,,,,,,
HEX4[5],Output,PIN_AH28,5A,B5A_N0,2.5 V,,,,,,,,,,,,,
